--------- beginning of system
01-01 12:11:52.883   302   302 I vold    : Vold 3.0 (the awakening) firing up
01-01 12:11:52.883   302   302 V vold    : Detected support for: exfat ext4 f2fs ntfs vfat
01-01 12:11:52.954   302   310 D vold    : e4crypt_init_user0
01-01 12:11:52.954   302   310 D vold    : e4crypt_prepare_user_storage for volume null, user 0, serial 0, flags 1
01-01 12:11:52.954   302   310 D vold    : Preparing: /data/system/users/0
01-01 12:11:52.957   302   310 D vold    : Preparing: /data/misc/profiles/cur/0
01-01 12:11:52.957   302   310 D vold    : Preparing: /data/misc/profiles/cur/0/foreign-dex
01-01 12:11:52.958   302   310 D vold    : Preparing: /data/system_de/0
01-01 12:11:52.958   302   310 D vold    : Preparing: /data/misc_de/0
01-01 12:11:52.959   302   310 D vold    : Preparing: /data/user_de/0
01-01 12:11:52.959   302   310 D vold    : e4crypt_unlock_user_key 0 serial=0 token_present=0
02-03 16:33:56.858  1497  1497 I InstallerConnection: connecting...
02-03 16:33:56.881  1497  1497 I InstallerConnection: disconnecting...
02-03 16:33:57.024  1497  1497 I SystemServer: Entered the Android system server!
02-03 16:33:57.240  1497  1497 I SystemServiceManager: Starting com.android.server.pm.Installer
02-03 16:33:57.250  1497  1497 I Installer: Waiting for installd to be ready.
02-03 16:33:57.250  1497  1497 I InstallerConnection: connecting...
02-03 16:33:57.252  1497  1497 I SystemServiceManager: Starting com.android.server.am.ActivityManagerService$Lifecycle
02-03 16:33:57.317  1497  1497 I ActivityManager: Memory class: 256
02-03 16:33:57.320  1497  1545 I ServiceThread: Enabled StrictMode logging for ActivityManager looper.
02-03 16:33:57.324  1497  1546 I ServiceThread: Enabled StrictMode logging for android.ui looper.
02-03 16:33:57.398  1497  1497 D BatteryStatsImpl: Reading daily items from /data/system/batterystats-daily.xml
02-03 16:33:57.630  1497  1497 W ProcessCpuTracker: Skipping unknown process pid 881
02-03 16:33:57.639  1497  1497 I IntentFirewall: Read new rules (A:0 B:0 S:0)
02-03 16:33:57.649  1497  1554 I ServiceThread: Enabled StrictMode logging for android.display looper.
02-03 16:33:57.661  1497  1497 D AppOps  : AppOpsService published
02-03 16:33:57.662  1497  1497 I SystemServiceManager: Starting com.android.server.power.PowerManagerService
02-03 16:33:57.667  1497  1556 I ServiceThread: Enabled StrictMode logging for PowerManagerService looper.
02-03 16:33:57.672  1497  1497 I SystemServiceManager: Starting com.android.server.lights.LightsService
02-03 16:33:57.676  1497  1497 I SystemServiceManager: Starting com.android.server.display.DisplayManagerService
02-03 16:33:57.682  1497  1497 I SystemServiceManager: Starting phase 100
02-03 16:33:57.690  1497  1554 I DisplayManagerService: Display device added: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:0", 1440 x 2560, modeId 1, defaultModeId 1, supportedModes [{id=1, width=1440, height=2560, fps=60.0}], colorMode 0, supportedColorModes [0], HdrCapabilities android.view.Display$HdrCapabilities@a69d6308, density 560, 562.707 x 565.426 dpi, appVsyncOff 7500000, presDeadline 12666667, touch INTERNAL, rotation 0, type BUILT_IN, state UNKNOWN, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
02-03 16:33:57.712  1497  1554 I DisplayManagerService: Display device changed state: "Built-in Screen", ON
02-03 16:33:57.713  1497  1497 I SystemServer: StartPackageManagerService
02-03 16:33:57.992  1497  1497 D SELinuxMMAC: Using policy file /system/etc/security/mac_permissions.xml
02-03 16:33:58.384  1497  1497 W PackageManager: Library not found: /system/framework/com.motorola.gallery
